URL,ASIN,Manufacturer,Description
https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1675269038&sprefix=ba%2Caps%2C283&sr=8-3,,,
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1675269038&sprefix=ba%2Caps%2C283&sr=8-4,,,
https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1675269038&sprefix=ba%2Caps%2C283&sr=8-5,B08Z1HHHTD,VIP Industries Ltd,"Product Dimensions : 10.01 x 19.99 x 11.99 cm; 390 Grams , Date First Available : 15 March 2021 , Manufacturer : VIP Industries Ltd , ASIN : B08Z1HHHTD , Manufacturer : VIP Industries Ltd , Item Weight : 390 g , Item Dimensions LxWxH : 10 x 20 x 12 Centimeters , "
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1675269038&sprefix=ba%2Caps%2C283&sr=8-6,B09TPX22NF,ADISA,"Product Dimensions : 32 x 20 x 47 cm; 530 Grams , Date First Available : 1 March 2022 , Manufacturer : ADISA , ASIN : B09TPX22NF , Item model number : BP041 , Country of Origin : India , Department : Men , Manufacturer : ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com , Packer : ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com , Item Weight : 530 g , Item Dimensions LxWxH : 32 x 20 x 47 Centimeters , Net Quantity : 1.00 count , Included Components : Laptop backpack only , Generic Name : Laptop backpack , "
https://www.amazon.in/AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1675269038&sprefix=ba%2Caps%2C283&sr=8-7,B07QN4KXWG,AirCase,"Product Dimensions : 29.01 x 46 x 19 cm; 580 Grams , Date First Available : 11 April 2019 , Manufacturer : AirCase , ASIN : B07QN4KXWG , Item model number : C34-P , Country of Origin : India , Department : unisex-adult , Manufacturer : AirCase, Istuff365, Godown No.H-3, Dharam Complex, Thane-421302 , Packer : Istuff365, Godown No.H-3, Dharam Complex, Thane-421302 , Item Weight : 580 g , Item Dimensions LxWxH : 29 x 46 x 19 Centimeters , Net Quantity : 1 Unit , Included Components : 1 Laptop Backpack , Generic Name : Laptop Backpack , "
https://www.amazon.in/Northzone-Waterproof-Backpack-Business-Dimensions/dp/B0BS6QQZYN/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1675269038&sprefix=ba%2Caps%2C283&sr=8-8,B0BS6QQZYN,SHABA BAGS,"Product Dimensions : 48 x 32 x 15 cm; 1 Kilograms , Date First Available : 12 January 2023 , Manufacturer : SHABA BAGS , ASIN : B0BS6QQZYN , Item model number : DB01 , Country of Origin : India , Department : unisex-adult , Manufacturer : SHABA BAGS, SHABA BAGS 9354115195 , Item Weight : 1 kg , Item Dimensions LxWxH : 48 x 32 x 15 Centimeters , Net Quantity : 1.00 count , "
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B085S444JV/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1675269038&sprefix=ba%2Caps%2C283&sr=8-9,,,
https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1675269038&sprefix=ba%2Caps%2C283&sr=8-10,,,
https://www.amazon.in/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B29F66W/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1675269038&sprefix=ba%2Caps%2C283&sr=8-13,B09B29F66W,Safari Industries,"Product Dimensions : 32 x 46 x 16 cm; 350 Grams , Date First Available : 22 July 2021 , Manufacturer : Safari Industries , ASIN : B09B29F66W , Item model number : FLASH19CBBLK , Country of Origin : India , Department : unisex-adult , Manufacturer : Safari Industries, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059 , Packer : 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059 , Importer : 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059 , Item Weight : 350 g , Item Dimensions LxWxH : 32 x 46 x 16 Centimeters , Generic Name : Backpack , "
https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1675269038&sprefix=ba%2Caps%2C283&sr=8-14,B098QFF5TJ,Wesley,"Product Dimensions : 36.8 x 22.9 x 50.8 cm; 900 Grams , Date First Available : 6 July 2021 , Manufacturer : Wesley , ASIN : B098QFF5TJ , Item model number : Spartan Hiking , Country of Origin : India , Department : Unisex-adult , Manufacturer : Wesley, Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039. Ph-9560940507 , Packer : Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039. Ph-9560940507 , Item Weight : 900 g , Item Dimensions LxWxH : 36.8 x 22.9 x 50.8 Centimeters , Included Components : Backpack, Raincover , Generic Name : LAPTOP BACKPACK , "
